AVG,Player,TEAM,POS
1,Jonathan Taylor,IND,RB
2,Christian McCaffrey,CAR,RB
3,Austin Ekeler,LAC,RB
4,Justin Jefferson,MIN,WR
5,Dalvin Cook,MIN,RB
6,Derrick Henry,TEN,RB
7,Cooper Kupp,LAR,WR
8,JaMarr Chase,CIN,WR
9,Najee Harris,PIT,RB
10,Joe Mixon,CIN,RB
11,Stefon Diggs,BUF,WR
12,DAndre Swift,DET,RB
13,Travis Kelce,KC,TE
14,Alvin Kamara,NO,RB
15,Davante Adams,LV,WR
16,Saquon Barkley,NYG,RB
17,CeeDee Lamb,DAL,WR
18,Aaron Jones,GB,RB
19,Leonard Fournette,TB,RB
20,Nick Chubb,CLE,RB
21,Deebo Samuel,SF,WR
22,Mark Andrews,BAL,TE
23,Javonte Williams,DEN,RB
24,Mike Evans,TB,WR
25,Tyreek Hill,MIA,WR
26,A.J. Brown,PHI,WR
27,Tee Higgins,CIN,WR
28,James Conner,ARI,RB
29,Michael Pittman Jr.,IND,WR
30,Keenan Allen,LAC,WR
31,Ezekiel Elliott,DAL,RB
32,Kyle Pitts,ATL,TE
33,DJ Moore,CAR,WR
34,Josh Allen,BUF,QB
35,Travis Etienne Jr.,JAC,RB
36,Mike Williams,LAC,WR
37,Courtland Sutton,DEN,WR
38,Breece Hall,NYJ,RB
39,David Montgomery,CHI,RB
40,Diontae Johnson,PIT,WR
41,Terry McLaurin,WAS,WR
42,Justin Herbert,LAC,QB
43,Jaylen Waddle,MIA,WR
44,Cam Akers,LAR,RB
45,Brandin Cooks,HOU,WR
46,AJ Dillon,GB,RB
47,Patrick Mahomes II,KC,QB
48,Elijah Mitchell,SF,RB
49,George Kittle,SF,TE
50,DK Metcalf,SEA,WR
51,Lamar Jackson,BAL,QB
52,Allen Robinson II,LAR,WR
53,J.K. Dobbins,BAL,RB
54,Josh Jacobs,LV,RB
55,Darren Waller,LV,TE
56,Marquise Brown,ARI,WR
57,Darnell Mooney,CHI,WR
58,Antonio Gibson,WAS,RB
59,Kyler Murray,ARI,QB
60,Gabriel Davis,BUF,WR
61,Jerry Jeudy,DEN,WR
62,Chase Edmonds,MIA,RB
63,Jalen Hurts,PHI,QB
64,Rashod Bateman,BAL,WR
65,Dalton Schultz,DAL,TE
66,Michael Thomas,NO,WR
67,Chris Godwin,TB,WR
68,Damien Harris,NE,RB
69,Amon-Ra St. Brown,DET,WR
70,Clyde Edwards-Helaire,KC,RB
71,JuJu Smith-Schuster,KC,WR
72,Elijah Moore,NYJ,WR
73,Rashaad Penny,SEA,RB
74,Amari Cooper,CLE,WR
75,Dameon Pierce,HOU,RB
76,Miles Sanders,PHI,RB
77,Joe Burrow,CIN,QB
78,Kareem Hunt,CLE,RB
79,Tony Pollard,DAL,RB
80,Rhamondre Stevenson,NE,RB
81,Dallas Goedert,PHI,TE
82,Adam Thielen,MIN,WR
83,Tom Brady,TB,QB
84,T.J. Hockenson,DET,TE
85,Russell Wilson,DEN,QB
86,Devin Singletary,BUF,RB
87,Cordarrelle Patterson,ATL,RB
88,Brandon Aiyuk,SF,WR
89,Dak Prescott,DAL,QB
90,DeVonta Smith,PHI,WR
91,Melvin Gordon III,DEN,RB
92,Allen Lazard,GB,WR
93,Drake London,ATL,WR
94,Trey Lance,SF,QB
95,Hunter Renfrow,LV,WR
96,Zach Ertz,ARI,TE
97,Christian Kirk,JAC,WR
98,Tyler Lockett,SEA,WR
99,Aaron Rodgers,GB,QB
100,Matthew Stafford,LAR,QB
101,Ken Walker III,SEA,RB
102,DeAndre Hopkins,ARI,WR
103,Robert Woods,TEN,WR
104,Dawson Knox,BUF,TE
105,James Cook,BUF,RB
106,Michael Carter,NYJ,RB
107,Darrell Henderson Jr.,LAR,RB
108,Kadarius Toney,NYG,WR
109,Kirk Cousins,MIN,QB
110,Cole Kmet,CHI,TE
111,Derek Carr,LV,QB
112,Pat Freiermuth,PIT,TE
113,Chris Olave,NO,WR
114,Nyheim Hines,IND,RB
115,James Robinson,JAC,RB
116,Treylon Burks,TEN,WR
117,Chase Claypool,PIT,WR
118,Alexander Mattison,MIN,RB
119,Kenneth Gainwell,PHI,RB
120,Tyler Boyd,CIN,WR
121,Garrett Wilson,NYJ,WR
122,Russell Gage,TB,WR
123,Jakobi Meyers,NE,WR
124,Hunter Henry,NE,TE
