,Player,Team,Pos,PassingAtt,PassingCmp,PassingYds,PassingTD,Int,RushingAtt,RushingYds,RushingTD,FL,Receptions,ReceivingYds,ReceivingTD,FantasyPoints
1,Josh Allen,BUF,QB,607.5,390.2,"4,405.30",34.6,13.9,117.3,663.4,6.9,3.8,0,0,0,456.152
0,Patrick Mahomes II,KC,QB,634,417.6,"4,840.80",35.9,11.6,66.5,359.6,2.8,2.8,0,0,0,432.992
2,Justin Herbert,LAC,QB,625.3,415.3,"4,681.30",34,13.3,63.9,294.6,3.2,1.4,0,0,0,410.512
3,Lamar Jackson,BAL,QB,520.5,336.7,"3,733.30",24.5,13.2,158.7,956.4,4.9,3.5,0,0,0,387.972
4,Kyler Murray,ARI,QB,570.7,384,"4,256.50",27.3,12.4,107.3,552.1,5.5,2.3,0,0,0,392.87
6,Jalen Hurts,PHI,QB,494.7,307.1,"3,644.30",24.4,12.6,144.8,773.1,7.9,2.9,0,0,0,385.882
5,Tom Brady,TB,QB,651.8,433.4,"4,840.70",36.3,11.9,28,45.7,1.7,2.4,0,0,0,397.598
8,Dak Prescott,DAL,QB,593.7,399.5,"4,548.50",32.7,11.7,55.8,230.7,2.9,4.1,0,0,0,387.01
7,Joe Burrow,CIN,QB,570.1,386.6,"4,575.20",31.3,12.8,46.6,187.4,2.2,1.8,0,0,0,373.548
10,Aaron Rodgers,GB,QB,558.5,376.8,"4,324.60",32.8,7.1,38.7,136.2,1.8,1.6,0,0,0,376.804
94,Matthew Stafford,LAR,QB,586.9,392.2,"4,587.40",33.6,13.9,33.3,99.2,1.2,2.4,0,0,0,369.616
9,Trey Lance,SF,QB,468.5,292.8,"3,560.20",23.8,12.7,126.2,644.3,5.2,2.6,0,0,0,350.238
11,Russell Wilson,DEN,QB,539.9,355.8,"4,106.90",29,9.6,62.7,278.9,2.1,2.3,0,0,0,354.966
12,Kirk Cousins,MIN,QB,573.9,378.9,"4,347.30",31.2,11.4,29.2,107.1,1,2.9,0,0,0,349.202
13,Derek Carr,LV,QB,596.8,399.5,"4,498.50",29,12.7,38.5,130,1.2,3.6,0,0,0,341.54
15,Tua Tagovailoa,MIA,QB,575.2,379.6,"4,031.00",25.7,13.3,56,206,3,2.4,0,0,0,322.64
14,Ryan Tannehill,TEN,QB,516.6,340.7,"3,754.10",24.2,13,55,253.7,3.9,2.6,0,0,0,312.934
16,Trevor Lawrence,JAC,QB,585.2,370.2,"3,942.00",22.5,13.9,70.6,328.7,2.4,3,0,0,0,306.15
18,Justin Fields,CHI,QB,504.9,311.8,"3,467.90",18.6,14.5,107.3,593.3,3.7,5,0,0,0,292.846
17,Matt Ryan,IND,QB,539.1,352.7,"3,937.40",25.9,11.4,35.9,125.5,1.4,3.6,0,0,0,303.846
95,Daniel Jones,NYG,QB,537.3,336.6,"3,613.80",20.6,12.5,81.2,424.5,2.7,4.7,0,0,0,292.402
19,Jameis Winston,NO,QB,486.8,305.1,"3,524.00",24.7,12.6,53.8,273.7,1.7,2.8,0,0,0,295.93
21,Mac Jones,NE,QB,544.7,359.4,"3,946.30",24.9,13.9,41.7,156.1,0.9,2.8,0,0,0,294.862
20,Carson Wentz,WAS,QB,538.1,343.1,"3,694.00",22.4,11.6,57.5,240.6,1.9,3.9,0,0,0,286.62
22,Jared Goff,DET,QB,565.3,371,"3,922.90",24.9,12.5,31.7,80.1,1,3.8,0,0,0,287.726
97,Baker Mayfield,CAR,QB,550.3,345,"3,730.90",21.5,14.5,44.7,166,1.5,2.5,0,0,0,269.836
23,Davis Mills,HOU,QB,538.1,351.6,"3,773.20",20.6,14.1,34.7,112.4,0.8,1.9,0,0,0,258.568
96,Zach Wilson,NYJ,QB,480.7,291.3,"3,135.30",19.1,12.4,41.4,214.7,2.4,1.7,0,0,0,247.682
257,Cooper Kupp,LAR,WR,0,0,0,0,0,4.1,23.9,0.1,0.6,123.1,"1,601.30",12.4,297.87
258,Justin Jefferson,MIN,WR,0,0,0,0,0,3.1,16,0,0.6,103.1,"1,502.50",9.5,259.2
24,JaMarr Chase,CIN,WR,0,0,0,0,0,8.5,50,0.2,0.6,91.6,"1,416.40",10.5,255.44
25,Deebo Samuel,SF,WR,0,0,0,0,0,66.3,376.7,4.7,0.7,70.6,"1,053.10",6.1,241.68
259,Davante Adams,LV,WR,0,0,0,0,0,0,0,0,0.5,107.3,"1,326.40",9.3,241.09
504,Stefon Diggs,BUF,WR,0,0,0,0,0,0.2,2,0,0.5,102,"1,256.50",8.9,229.25
26,CeeDee Lamb,DAL,WR,0,0,0,0,0,6,44.9,0.1,0.5,91.2,"1,236.50",7.6,218.94
99,Tyreek Hill,MIA,WR,0,0,0,0,0,8.8,62.2,0.3,0.5,92.8,"1,159.50",8.1,217.97
261,Mike Evans,TB,WR,0,0,0,0,0,0.2,1.4,0,0.5,82.1,"1,131.60",10.1,213.95
27,Tee Higgins,CIN,WR,0,0,0,0,0,0.2,0.8,0,0.5,85.3,"1,194.30",7.8,207.96
105,Michael Pittman Jr.,IND,WR,0,0,0,0,0,3.7,28.9,0,0.6,91.5,"1,132.50",6.7,200.89
101,A.J. Brown,PHI,WR,0,0,0,0,0,0.8,7.6,0,0.5,77.5,"1,132.80",8.1,200.39
100,Keenan Allen,LAC,WR,0,0,0,0,0,0.4,1.8,0,0.5,99.8,"1,089.50",6.9,199.43
29,Brandin Cooks,HOU,WR,0,0,0,0,0,2.6,18.5,0.1,0.5,93.1,"1,114.60",6.1,196.06
98,DJ Moore,CAR,WR,0,0,0,0,0,5.6,37.9,0.1,0.6,86.8,"1,145.80",5.7,195.37
102,Mike Williams,LAC,WR,0,0,0,0,0,0,0.2,0,0.4,74.6,"1,098.00",7.9,193.72
260,Diontae Johnson,PIT,WR,0,0,0,0,0,4.2,31.6,0.1,1,94.9,"1,047.20",6.1,190.53
